sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,6,4,26,88,0,0,0,2L,2.543279,101,1.437,28581.098074428766,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,27,89,0,0,0,2L,2.642104,101,1.477,28663.30067150251,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,28,90,0,0,0,2L,2.664316,101,1.432,28588.45678538014,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,4,3,39,91,0,0,0,2L,2.675422,102,1.432,28685.263944224615,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,20,92,0,0,0,2L,3.223683,103,1.45,29128.066386248385,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,21,93,0,0,0,2L,3.210237,103,1.497,28995.182950309958,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,22,94,0,0,0,2L,3.065106,103,1.54,29146.314880672373,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,23,95,0,0,0,2L,3.101767,103,1.602,29039.707398503684,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,24,96,0,0,0,2L,3.210237,102,1.443,28958.194578632065,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,6,4,29,97,0,0,0,2L,2.675422,101,1.487,28559.381664997632,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,30,98,0,0,0,2L,2.697634,101,1.429,28637.294748742654,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,31,99,0,0,0,2L,2.697634,102,1.572,28696.313318913635,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,32,100,0,0,0,2L,2.686528,101,1.525,28493.459063683556,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,33,101,0,0,0,2L,2.70874,101,1.449,28657.614168330358,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,34,102,0,0,0,2L,2.675422,101,1.432,28661.419002168554,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,35,103,0,0,0,2L,2.70874,102,1.433,28743.1460805961,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,36,104,0,0,0,2L,2.630998,101,1.47,28554.979362597915,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,37,105,0,0,0,2L,2.697634,101,1.424,28530.861029223604,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,38,106,0,0,0,2L,2.608786,102,1.461,28681.283150273423,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,4,3,40,107,0,0,0,2L,2.686528,102,1.446,28765.236149398566,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,6,4,39,108,0,0,0,2L,2.686528,101,1.442,28473.28792256887,0,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,40,109,0,0,0,2L,2.664316,101,1.508,28668.09257179155,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,4,3,41,110,0,0,0,2L,2.686528,101,1.738,28629.543523012093,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,6,4,41,111,0,0,0,2L,2.686528,101,1.456,28585.530060475958,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,5,3,25,112,0,0,0,2L,3.210237,103,1.44,29091.623723979497,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,42,113,0,0,0,2L,2.664316,102,1.425,28860.64631170511,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,43,114,0,0,0,2L,2.642104,102,1.455,28709.29510674655,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,44,115,0,0,0,2L,2.664316,102,1.481,28714.59072498932,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,26,116,0,0,0,2L,3.19679,103,1.564,29166.73681579763,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,27,117,0,0,0,2L,3.19679,103,1.72,29028.949287000924,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,6,4,42,118,0,0,0,2L,2.573557,101,1.602,28539.839583249777,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,43,119,0,0,0,2L,2.686528,101,1.53,28500.575455158163,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,44,120,0,0,0,2L,2.70874,101,1.523,28672.912994661165,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,45,121,0,0,0,2L,2.697634,101,1.459,28599.048176029017,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,46,122,0,0,0,2L,2.70874,101,1.441,28556.453202472407,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,47,123,0,0,0,2L,2.70874,102,1.518,28708.847448028704,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,48,124,0,0,0,2L,2.70874,102,1.616,28740.47292209899,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,5,3,28,125,0,0,0,2L,3.169897,103,1.488,29070.083919523076,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,29,126,0,0,0,2L,3.183344,103,1.455,29234.22607146592,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,30,127,0,0,0,2L,3.156451,103,1.561,29143.102634329385,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,6,4,49,128,0,0,0,2L,2.70874,101,1.464,28601.731318564875,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,5,3,31,129,0,0,0,2L,3.223683,103,1.486,29032.46712127713,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,32,130,0,0,0,2L,3.223683,102,1.45,28942.828614834038,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,33,131,0,0,0,2L,3.19679,103,1.522,29089.422381557863,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,34,132,0,0,0,2L,3.210237,103,1.505,29052.625440139316,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,35,133,0,0,0,2L,3.19679,103,1.445,29120.161835351726,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,36,134,0,0,0,2L,3.223683,103,1.434,29032.575960324797,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,37,135,0,0,0,2L,3.210237,103,1.446,29211.053728399795,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,38,136,0,0,0,2L,3.19679,103,1.442,29066.944962104633,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,39,137,0,0,0,2L,3.183344,103,1.757,29133.602768274966,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,40,138,0,0,0,2L,3.210237,103,1.893,28991.188734112635,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,45,139,0,0,0,2L,2.523093,102,1.503,28808.431613253335,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,46,140,0,0,0,2L,2.513001,103,1.533,28989.25725592916,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,47,141,0,0,0,2L,2.502908,102,1.429,28883.192380637036,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,48,142,0,0,0,2L,2.533186,103,1.598,28985.15443530123,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,49,143,0,0,0,2L,2.58365,103,1.435,28997.89726185977,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,50,144,0,0,0,2L,2.553371,102,1.422,28948.29867411896,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,51,145,0,0,0,2L,2.563464,102,1.438,28814.62630510353,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,52,146,0,0,0,2L,2.619892,102,1.447,28940.169925463673,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,53,147,0,0,0,2L,2.59768,102,1.544,28920.963880247145,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,54,148,0,0,0,2L,2.630998,102,1.474,28705.81122191379,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,41,149,0,0,0,2L,2.979563,103,1.421,29182.79570816919,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,42,150,0,0,0,2L,2.991783,103,1.532,29216.183845303676,1,,,35.35557263576618,2D,cathodic,,
